time,layout_data_offset,data_0,data_1,data_2,data_3
2025/08/05 16:54:08.558711878,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:08.659891253,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:08.761798420,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:08.856331337,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:08.955249754,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:09.55158170,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:09.158122504,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:09.253695587,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:09.353543004,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:09.455318420,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:09.557009796,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:09.653748712,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:09.753513879,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:09.854844962,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:09.954969754,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:10.54765837,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:10.154830587,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:10.264663296,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:10.355236338,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:10.455793129,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:10.556473296,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:10.661179754,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:10.758594171,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:10.856687254,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:10.959248130,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:11.55992505,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:11.157693630,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:11.260648380,0,30.0,30.0,-20.0,-20.0
2025/08/05 16:54:11.355549213,0,30.0,30.0,-10.0,-10.0
2025/08/05 16:54:11.458870671,0,30.0,30.0,0.0,0.0
2025/08/05 16:54:11.557852546,0,30.0,30.0,10.0,10.0
2025/08/05 16:54:11.654937963,0,30.0,30.0,20.0,20.0
2025/08/05 16:54:11.754155880,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:11.853467338,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:11.954860255,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:12.57575588,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:12.159316047,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:12.255892588,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:12.356052422,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:12.456496672,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:12.556641422,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:12.656739880,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:12.757083630,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:12.856888464,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:12.954873047,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:13.55313506,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:13.157504464,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:13.256895047,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:13.360747922,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:13.462641839,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:13.556079256,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:13.660747131,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:13.753029214,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:13.853943173,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:13.954766131,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:14.56841964,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:14.159381881,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:14.253222589,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:14.359315464,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:14.456731715,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:14.560275840,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:14.655883923,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:14.755765173,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:14.856442965,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:14.954384756,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:15.54655465,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:15.155235590,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:15.255399465,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:15.354556715,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:15.455806465,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:15.556713423,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:15.655672257,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:15.755761632,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:15.855472465,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:15.959382465,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:16.57012382,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:16.156064549,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:16.255468632,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:16.361832632,0,30.0,30.0,20.0,20.0
2025/08/05 16:54:16.456555299,0,30.0,30.0,10.0,10.0
2025/08/05 16:54:16.556564591,0,30.0,30.0,0.0,0.0
2025/08/05 16:54:16.654705841,0,30.0,30.0,-10.0,-10.0
2025/08/05 16:54:16.759600132,0,30.0,30.0,-20.0,-20.0
2025/08/05 16:54:16.864123757,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:16.963327091,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:17.52882841,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:17.156013299,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:17.260325466,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:17.358826508,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:17.461790716,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:17.557087466,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:17.667998133,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:17.756105133,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:17.853926966,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:17.953558883,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:18.55396425,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:18.155641175,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:18.256266008,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:18.359358258,0,30.0,30.0,-30.0,-30.0
